x,y,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,SPEED_MAX_GUST,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,STATION_NAME,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN,TOTAL_PRECIPITATION,MAX_TEMPERATURE_FLAG,ID,TOTAL_SNOW,LOCAL_DATE,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,,,
-118.0297222,52.92638889,2011,,7,20,0,AB,,,,,0,,JASPER WARDEN,M,4,,,,3053536.2011.7.20,,7/20/2011 0:00,,0,,,M,20.1,M,14,,,3053536,7.8,,,,
-118.0297222,52.92638889,2011,,7,21,0,AB,,,29,,0,,JASPER WARDEN,M,4.3,,1.9,,3053536.2011.7.21,,7/21/2011 0:00,,0,92,,M,18.8,,13.7,,,3053536,8.6,,,,
-118.0297222,52.92638889,2011,M,7,22,0,AB,M,,31,,0,,JASPER WARDEN,M,,,0.2,M,3053536.2011.7.22,,7/22/2011 0:00,,,98,,M,,,,M,E,3053536,2,,,,
-118.0297222,52.92638889,2011,,7,23,0,AB,,,57,,0,,JASPER WARDEN,M,6.9,,0.3,,3053536.2011.7.23,,7/23/2011 0:00,,0,97,,M,16.1,,11.1,,,3053536,6,,,,
-118.0297222,52.92638889,2011,,7,24,0,AB,,,33,,0,,JASPER WARDEN,M,4.8,,0.2,,3053536.2011.7.24,,7/24/2011 0:00,,0,99,,M,23,,13.2,,,3053536,3.3,,,,
-118.0297222,52.92638889,2011,,7,25,0,AB,,,,,0,,JASPER WARDEN,M,2,,,,3053536.2011.7.25,,7/25/2011 0:00,,0,,,M,25.8,M,16,,,3053536,6.2,,,,
-118.0297222,52.92638889,2011,,7,26,33,AB,,,34,,23,,JASPER WARDEN,M,4.4,,0,,3053536.2011.7.26,,7/26/2011 0:00,,0,94,,M,21.2,,13.6,,,3053536,6,,,,
-118.0297222,52.92638889,2011,,7,27,35,AB,,,32,,25,,JASPER WARDEN,M,3.4,,0,,3053536.2011.7.27,,7/27/2011 0:00,,0,78,,M,19.5,,14.6,,,3053536,9.7,,,,
-118.0297222,52.92638889,2011,,7,28,0,AB,,,35,,0,,JASPER WARDEN,M,3.6,,4.4,,3053536.2011.7.28,,7/28/2011 0:00,,0,97,,M,20.5,,14.4,,,3053536,8.2,,,,
-118.0297222,52.92638889,2011,,7,29,0,AB,,,26,,0,,JASPER WARDEN,M,4.4,,0.2,,3053536.2011.7.29,,7/29/2011 0:00,,0,98,,M,20.5,,13.6,,,3053536,6.7,,,,
-118.0297222,52.92638889,2011,,7,30,37,AB,,,22,,19,,JASPER WARDEN,M,3.7,,0.2,,3053536.2011.7.30,,7/30/2011 0:00,,0,98,,M,26.6,,14.3,,,3053536,1.9,,,,
-118.0297222,52.92638889,2011,,7,31,0,AB,,,58,,0,,JASPER WARDEN,M,4.3,,9,,3053536.2011.7.31,,7/31/2011 0:00,,0,97,,M,19.8,,13.7,,,3053536,7.6,,,,
-118.0297222,52.92638889,2011,,8,1,0,AB,,,25,,0,,JASPER WARDEN,M,4.2,,0,,3053536.2011.8.1,,8/1/2011 0:00,,0,98,,M,20.9,,13.8,,,3053536,6.7,,,,
-118.0297222,52.92638889,2011,,8,2,0,AB,,,27,,0,,JASPER WARDEN,M,4.5,,0,,3053536.2011.8.2,,8/2/2011 0:00,,0,88,,M,22.6,,13.5,,,3053536,4.4,,,,
-118.0297222,52.92638889,2011,,8,3,32,AB,,,42,,19,,JASPER WARDEN,M,4.3,,0,,3053536.2011.8.3,,8/3/2011 0:00,,0,84,,M,20.4,,13.7,,,3053536,7,,,,
-118.0297222,52.92638889,2011,,8,4,0,AB,,,24,,0,,JASPER WARDEN,M,3.9,,0.2,,3053536.2011.8.4,,8/4/2011 0:00,,0,99,,M,24.9,,14.1,,,3053536,3.2,,,,
-118.0297222,52.92638889,2011,,8,5,0,AB,,,25,,0,,JASPER WARDEN,M,2.9,,0,,3053536.2011.8.5,,8/5/2011 0:00,,0,98,,M,27.3,,15.1,,,3053536,2.9,,,,
-118.0297222,52.92638889,2011,,8,6,35,AB,,,39,,28,,JASPER WARDEN,M,4.9,,14.6,,3053536.2011.8.6,,8/6/2011 0:00,,0,97,,M,18.6,,13.1,,,3053536,7.5,,,,
-118.0297222,52.92638889,2011,,8,7,0,AB,,,60,,0,,JASPER WARDEN,M,5.9,,0.2,,3053536.2011.8.7,,8/7/2011 0:00,,0,97,,M,17,,12.1,,,3053536,7.2,,,,
-118.0297222,52.92638889,2011,,8,8,0,AB,,,25,,0,,JASPER WARDEN,M,3.3,,0,,3053536.2011.8.8,,8/8/2011 0:00,,0,99,,M,26,,14.7,,,3053536,3.3,,,,
-118.0297222,52.92638889,2011,,8,9,32,AB,,,24,,1,,JASPER WARDEN,M,2.7,,0,,3053536.2011.8.9,,8/9/2011 0:00,,0,98,,M,26.4,,15.3,,,3053536,4.1,,,,
-118.0297222,52.92638889,2011,,8,10,0,AB,,,30,,0,,JASPER WARDEN,M,3,,0.5,,3053536.2011.8.10,,8/10/2011 0:00,,0,97,,M,25.2,,15,,,3053536,4.7,,,,
-118.0297222,52.92638889,2011,,8,11,0,AB,,,34,,0,,JASPER WARDEN,M,2.8,,0.2,,3053536.2011.8.11,,8/11/2011 0:00,,0,98,,M,23.8,,15.2,,,3053536,6.5,,,,
-118.0297222,52.92638889,2011,,8,12,0,AB,,,23,,0,,JASPER WARDEN,M,2.7,,0.2,,3053536.2011.8.12,,8/12/2011 0:00,,0,99,,M,26.6,,15.3,,,3053536,4,,,,
-118.0297222,52.92638889,2011,,8,13,33,AB,,,23,,18,,JASPER WARDEN,M,1.2,,0,,3053536.2011.8.13,,8/13/2011 0:00,,0,93,,M,27.1,,16.8,,,3053536,6.5,,,,
-118.0297222,52.92638889,2011,,8,14,32,AB,,,45,,30,,JASPER WARDEN,M,6.2,,3.3,,3053536.2011.8.14,,8/14/2011 0:00,,0,95,,M,19.7,,11.8,,,3053536,3.9,,,,
-118.0297222,52.92638889,2011,,8,15,37,AB,,,31,,25,,JASPER WARDEN,M,6.9,,0,,3053536.2011.8.15,,8/15/2011 0:00,,0,99,,M,17.5,,11.1,,,3053536,4.7,,,,
-118.0297222,52.92638889,2011,,8,16,0,AB,,,40,,0,,JASPER WARDEN,M,6.5,,0,,3053536.2011.8.16,,8/16/2011 0:00,,0,93,,M,19.1,,11.5,,,3053536,3.9,,,,
-118.0297222,52.92638889,2011,,8,17,0,AB,,,64,,0,,JASPER WARDEN,M,6.2,,0.6,,3053536.2011.8.17,,8/17/2011 0:00,,0,89,,M,14.7,,11.8,,,3053536,8.9,,,,
-118.0297222,52.92638889,2011,,8,18,33,AB,,,36,,26,,JASPER WARDEN,M,7.2,,1.6,,3053536.2011.8.18,,8/18/2011 0:00,,0,97,,M,17.1,,10.8,,,3053536,4.5,,,,
-118.0297222,52.92638889,2011,,8,19,0,AB,,,24,,0,,JASPER WARDEN,M,7.2,,0.2,,3053536.2011.8.19,,8/19/2011 0:00,,0,100,,M,21.1,,10.8,,,3053536,0.4,,,,
-118.0297222,52.92638889,2011,,8,20,0,AB,,,26,,0,,JASPER WARDEN,M,0,,0,,3053536.2011.8.20,,8/20/2011 0:00,,0.6,74,,M,26.6,,18.6,,,3053536,10.6,,,,
-118.0297222,52.92638889,2011,,8,21,33,AB,,,24,,21,,JASPER WARDEN,M,1.5,,0,,3053536.2011.8.21,,8/21/2011 0:00,,0,96,,M,27.4,,16.5,,,3053536,5.5,,,,
-118.0297222,52.92638889,2011,,8,22,37,AB,,,33,,15,,JASPER WARDEN,M,0.8,,0,,3053536.2011.8.22,,8/22/2011 0:00,,0,66,,M,21.5,,17.2,,,3053536,12.8,,,,
-118.0297222,52.92638889,2011,,8,23,0,AB,,,37,,0,,JASPER WARDEN,M,2.9,,8.5,,3053536.2011.8.23,,8/23/2011 0:00,,0,97,,M,21.4,,15.1,,,3053536,8.8,,,,
-118.0297222,52.92638889,2011,,8,24,0,AB,,,23,,0,,JASPER WARDEN,M,2.4,,0.2,,3053536.2011.8.24,,8/24/2011 0:00,,0,97,,M,25.8,,15.6,,,3053536,5.3,,,,
-118.0297222,52.92638889,2011,,8,25,0,AB,,,20,,0,,JASPER WARDEN,M,2.8,,0,,3053536.2011.8.25,,8/25/2011 0:00,,0,93,,M,24.9,,15.2,,,3053536,5.4,,,,
-118.0297222,52.92638889,2011,,8,26,0,AB,,,30,,0,,JASPER WARDEN,M,5.1,,0,,3053536.2011.8.26,,8/26/2011 0:00,,0,99,,M,23.5,,12.9,,,3053536,2.2,,,,
-118.0297222,52.92638889,2011,,8,27,0,AB,,,16,,0,,JASPER WARDEN,M,2.8,,0,,3053536.2011.8.27,,8/27/2011 0:00,,0,98,,M,26.5,,15.2,,,3053536,3.9,,,,
-118.0297222,52.92638889,2011,,8,28,0,AB,,,19,,0,,JASPER WARDEN,M,3.6,,0,,3053536.2011.8.28,,8/28/2011 0:00,,0,98,,M,28.1,,14.4,,,3053536,0.6,,,,
-118.0297222,52.92638889,2011,,8,29,0,AB,,,54,,0,,JASPER WARDEN,M,6.1,,0.7,,3053536.2011.8.29,,8/29/2011 0:00,,0,95,,M,19.3,,11.9,,,3053536,4.5,,,,
-118.0297222,52.92638889,2011,,8,30,32,AB,,,25,,33,,JASPER WARDEN,M,4.2,,3.3,,3053536.2011.8.30,,8/30/2011 0:00,,0,98,,M,20,,13.8,,,3053536,7.6,,,,
-118.0297222,52.92638889,2011,,8,31,32,AB,,,38,,34,,JASPER WARDEN,M,8.2,,0,,3053536.2011.8.31,,8/31/2011 0:00,,0,87,,M,15.4,,9.8,,,3053536,4.1,,,,
-118.0297222,52.92638889,2011,,9,1,0,AB,,,29,,0,,JASPER WARDEN,M,10.1,,0.6,,3053536.2011.9.1,,9/1/2011 0:00,,0,100,,M,17.3,,7.9,,,3053536,-1.6,,,,
-118.0297222,52.92638889,2011,,9,2,0,AB,,,43,,0,,JASPER WARDEN,M,7.9,,0,,3053536.2011.9.2,,9/2/2011 0:00,,0,91,,M,15.1,,10.1,,,3053536,5,,,,
-118.0297222,52.92638889,2011,,9,3,0,AB,,,28,,0,,JASPER WARDEN,M,7.7,,0,,3053536.2011.9.3,,9/3/2011 0:00,,0,100,,M,21.3,,10.3,,,3053536,-0.8,,,,
-118.0297222,52.92638889,2011,,9,4,32,AB,,,20,,18,,JASPER WARDEN,M,5.1,,0,,3053536.2011.9.4,,9/4/2011 0:00,,0,99,,M,25,,12.9,,,3053536,0.7,,,,
-118.0297222,52.92638889,2011,,9,5,32,AB,,,18,,20,,JASPER WARDEN,M,3.9,,0,,3053536.2011.9.5,,9/5/2011 0:00,,0,97,,M,26.2,,14.1,,,3053536,1.9,,,,
-118.0297222,52.92638889,2011,,9,6,0,AB,,,19,,0,,JASPER WARDEN,M,3.4,,0,,3053536.2011.9.6,,9/6/2011 0:00,,0,94,,M,27.1,,14.6,,,3053536,2,,,,
-118.0297222,52.92638889,2011,,9,7,0,AB,,,15,,0,,JASPER WARDEN,M,2.1,,0,,3053536.2011.9.7,,9/7/2011 0:00,,0,97,,M,29.6,,15.9,,,3053536,2.1,,,,
-118.0297222,52.92638889,2011,,9,8,0,AB,,,14,,0,,JASPER WARDEN,M,2,,0,,3053536.2011.9.8,,9/8/2011 0:00,,0,98,,M,30,,16,,,3053536,1.9,,,,
-118.0297222,52.92638889,2011,,9,9,0,AB,,,14,,0,,JASPER WARDEN,M,2.2,,0,,3053536.2011.9.9,,9/9/2011 0:00,,0,96,,M,30.4,,15.8,,,3053536,1.1,,,,
-118.0297222,52.92638889,2011,,9,10,0,AB,,,16,,0,,JASPER WARDEN,M,2.5,,0.4,,3053536.2011.9.10,,9/10/2011 0:00,,0,98,,M,28.5,,15.5,,,3053536,2.4,,,,
-118.0297222,52.92638889,2011,,9,11,59,AB,,,45,,34,,JASPER WARDEN,M,6.7,,0,,3053536.2011.9.11,,9/11/2011 0:00,,0,97,,M,19.4,,11.3,,,3053536,3.1,,,,
-118.0297222,52.92638889,2011,,9,12,41,AB,,,42,,36,,JASPER WARDEN,M,9.3,,0,,3053536.2011.9.12,,9/12/2011 0:00,,0,100,,M,17.1,,8.7,,,3053536,0.2,,,,
-118.0297222,52.92638889,2011,,9,13,41,AB,,,46,,35,,JASPER WARDEN,M,6,,0,,3053536.2011.9.13,,9/13/2011 0:00,,0,80,,M,16.5,,12,,,3053536,7.4,,,,
-118.0297222,52.92638889,2011,,9,14,0,AB,,,29,,0,,JASPER WARDEN,M,5.8,,0,,3053536.2011.9.14,,9/14/2011 0:00,,0,100,,M,24.3,,12.2,,,3053536,0,,,,
-118.0297222,52.92638889,2011,,9,15,43,AB,,,49,,15,,JASPER WARDEN,M,7,,0.8,,3053536.2011.9.15,,9/15/2011 0:00,,0,98,,M,19.4,,11,,,3053536,2.6,,,,
-118.0297222,52.92638889,2011,,9,16,0,AB,,,32,,0,,JASPER WARDEN,M,7,,0,,3053536.2011.9.16,,9/16/2011 0:00,,0,89,,M,15.8,,11,,,3053536,6.1,,,,
-118.0297222,52.92638889,2011,,9,17,0,AB,,,41,,0,,JASPER WARDEN,M,10.5,,0,,3053536.2011.9.17,,9/17/2011 0:00,,0,88,,M,14.5,,7.5,,,3053536,0.5,,,,
-118.0297222,52.92638889,2011,,9,18,33,AB,,,42,,20,,JASPER WARDEN,M,11.9,,2.3,,3053536.2011.9.18,,9/18/2011 0:00,,0,100,,M,15.1,,6.1,,,3053536,-2.9,,,,
-118.0297222,52.92638889,2011,,9,19,32,AB,,,31,,26,,JASPER WARDEN,M,9.4,,0.3,,3053536.2011.9.19,,9/19/2011 0:00,,0,99,,M,15,,8.6,,,3053536,2.1,,,,
-118.0297222,52.92638889,2011,,9,20,0,AB,,,20,,0,,JASPER WARDEN,M,10.1,,0,,3053536.2011.9.20,,9/20/2011 0:00,,0,100,,M,19.6,,7.9,,,3053536,-3.8,,,,
-118.0297222,52.92638889,2011,,9,21,44,AB,,,26,,16,,JASPER WARDEN,M,5.7,,0,,3053536.2011.9.21,,9/21/2011 0:00,,0,88,,M,23.5,,12.3,,,3053536,1.1,,,,
-118.0297222,52.92638889,2011,,9,22,0,AB,,,41,,0,,JASPER WARDEN,M,1.9,,0,,3053536.2011.9.22,,9/22/2011 0:00,,0,75,,M,19.1,,16.1,,,3053536,13,,,,
-118.0297222,52.92638889,2011,,9,23,50,AB,,,25,,21,,JASPER WARDEN,M,0,,0,,3053536.2011.9.23,,9/23/2011 0:00,,2.5,54,,M,25.5,,20.5,,,3053536,15.5,,,,
-118.0297222,52.92638889,2011,,9,24,44,AB,,,14,,17,,JASPER WARDEN,M,0,,0,,3053536.2011.9.24,,9/24/2011 0:00,,0.2,62,,M,27.1,,18.2,,,3053536,9.2,,,,
-118.0297222,52.92638889,2011,,9,25,37,AB,,,46,,17,,JASPER WARDEN,M,7.1,,5.7,,3053536.2011.9.25,,9/25/2011 0:00,,0,99,,M,19.7,,10.9,,,3053536,2.1,,,,
-118.0297222,52.92638889,2011,,9,26,32,AB,,,34,,19,,JASPER WARDEN,M,9.6,,0.7,,3053536.2011.9.26,,9/26/2011 0:00,,0,99,,M,13.1,,8.4,,,3053536,3.6,,,,
-118.0297222,52.92638889,2011,,9,27,32,AB,,,29,,18,,JASPER WARDEN,M,7.3,,1.3,,3053536.2011.9.27,,9/27/2011 0:00,,0,97,,M,15.7,,10.7,,,3053536,5.7,,,,
-118.0297222,52.92638889,2011,,9,28,0,AB,,,29,,0,,JASPER WARDEN,M,11.8,,0,,3053536.2011.9.28,,9/28/2011 0:00,,0,86,,M,13.5,,6.2,,,3053536,-1.1,,,,
-118.0297222,52.92638889,2011,,9,29,0,AB,,,24,,0,,JASPER WARDEN,M,12,,0.2,,3053536.2011.9.29,,9/29/2011 0:00,,0,99,,M,16.3,,6,,,3053536,-4.3,,,,
-118.0297222,52.92638889,2011,,9,30,0,AB,,,39,,0,,JASPER WARDEN,M,7.7,,1.8,,3053536.2011.9.30,,9/30/2011 0:00,,0,94,,M,18.1,,10.3,,,3053536,2.5,,,,
-118.0297222,52.92638889,2011,,10,1,0,AB,,,88,,0,,JASPER WARDEN,M,12.9,,6.6,,3053536.2011.10.1,,10/1/2011 0:00,,0,99,,M,6.8,,5.1,,,3053536,3.4,,,,
-118.0297222,52.92638889,2011,,10,2,0,AB,,,75,,0,,JASPER WARDEN,M,11.8,,1.3,,3053536.2011.10.2,,10/2/2011 0:00,,0,99,,M,9.7,,6.2,,,3053536,2.6,,,,
-118.0297222,52.92638889,2011,,10,3,0,AB,,,61,,0,,JASPER WARDEN,M,9.9,,0.4,,3053536.2011.10.3,,10/3/2011 0:00,,0,99,,M,13.4,,8.1,,,3053536,2.7,,,,
-118.0297222,52.92638889,2011,,10,4,0,AB,,,69,,0,,JASPER WARDEN,M,11.3,,3,,3053536.2011.10.4,,10/4/2011 0:00,,0,99,,M,11.1,,6.7,,,3053536,2.2,,,,
-118.0297222,52.92638889,2011,M,10,5,0,AB,M,,,,0,,JASPER WARDEN,M,,,0.2,M,3053536.2011.10.5,,10/5/2011 0:00,,,,,M,,,,M,E,3053536,-0.3,,,,
-118.0297222,52.92638889,2011,,10,6,0,AB,,,58,,0,1,JASPER WARDEN,M,10.8,,0,,3053536.2011.10.6,,10/6/2011 0:00,,0,99,,M,12.9,,7.2,,,3053536,1.4,,,,
-118.0297222,52.92638889,2011,,10,7,32,AB,,,33,,23,,JASPER WARDEN,M,11.9,,0.2,,3053536.2011.10.7,,10/7/2011 0:00,,0,100,,M,12.2,,6.1,,,3053536,-0.1,,,,
-118.0297222,52.92638889,2011,,10,8,0,AB,,,27,,0,,JASPER WARDEN,M,13.2,,0,,3053536.2011.10.8,,10/8/2011 0:00,,0,99,,M,14.1,,4.8,,,3053536,-4.6,,,,
-118.0297222,52.92638889,2011,,10,9,35,AB,,,38,,18,,JASPER WARDEN,M,12.7,,0,,3053536.2011.10.9,,10/9/2011 0:00,,0,93,,M,11.8,,5.3,,,3053536,-1.3,,,,
-118.0297222,52.92638889,2011,,10,10,0,AB,,,48,,0,,JASPER WARDEN,M,14.5,,0,,3053536.2011.10.10,,10/10/2011 0:00,,0,99,,M,10.3,,3.5,,,3053536,-3.3,,,,
-118.0297222,52.92638889,2011,,10,11,0,AB,,,51,,0,,JASPER WARDEN,M,12.2,,0.2,,3053536.2011.10.11,,10/11/2011 0:00,,0,100,,M,13.1,,5.8,,,3053536,-1.6,,,,
-118.0297222,52.92638889,2011,,10,12,0,AB,,,52,,0,,JASPER WARDEN,M,11.9,,0.7,,3053536.2011.10.12,,10/12/2011 0:00,,0,100,,M,11.3,,6.1,,,3053536,0.9,,,,
-118.0297222,52.92638889,2011,,10,13,32,AB,,,34,,20,,JASPER WARDEN,M,13.9,,0,,3053536.2011.10.13,,10/13/2011 0:00,,0,99,,M,9.3,,4.1,,,3053536,-1.1,,,,
-118.0297222,52.92638889,2011,,10,14,0,AB,,,32,,0,,JASPER WARDEN,M,16.2,,0,,3053536.2011.10.14,,10/14/2011 0:00,,0,98,,M,8.7,,1.8,,,3053536,-5.2,,,,
-118.0297222,52.92638889,2011,,10,15,0,AB,,,25,,0,1,JASPER WARDEN,M,16.2,,0,,3053536.2011.10.15,,10/15/2011 0:00,,0,97,,M,10.6,,1.8,,,3053536,-7,,,,
-118.0297222,52.92638889,2011,,10,16,0,AB,,,23,,0,,JASPER WARDEN,M,16.4,,0,,3053536.2011.10.16,,10/16/2011 0:00,,0,100,,M,11.6,,1.6,,,3053536,-8.5,,,,
-118.0297222,52.92638889,2011,,10,17,0,AB,,,37,,0,,JASPER WARDEN,M,14.2,,0,,3053536.2011.10.17,,10/17/2011 0:00,,0,83,,M,11.7,,3.8,,,3053536,-4.2,,,,
-118.0297222,52.92638889,2011,,10,18,0,AB,,,28,,0,,JASPER WARDEN,M,11.1,,0,,3053536.2011.10.18,,10/18/2011 0:00,,0,96,,M,17.1,,6.9,,,3053536,-3.3,,,,
-118.0297222,52.92638889,2011,,10,19,0,AB,,,30,,0,,JASPER WARDEN,M,11.4,,0,,3053536.2011.10.19,,10/19/2011 0:00,,0,96,,M,16.1,,6.6,,,3053536,-2.9,,,,
-118.0297222,52.92638889,2011,,10,20,0,AB,,,61,,0,,JASPER WARDEN,M,11.9,,0.7,,3053536.2011.10.20,,10/20/2011 0:00,,0,93,,M,9.3,,6.1,,,3053536,2.9,,,,
-118.0297222,52.92638889,2011,,10,21,0,AB,,,40,,0,,JASPER WARDEN,M,13.6,,0.2,,3053536.2011.10.21,,10/21/2011 0:00,,0,99,,M,11,,4.4,,,3053536,-2.3,,,,
-118.0297222,52.92638889,2011,,10,22,0,AB,,,71,,0,,JASPER WARDEN,M,14.9,,5.1,,3053536.2011.10.22,,10/22/2011 0:00,,0,100,,M,7.3,,3.1,,,3053536,-1.1,,,,
-118.0297222,52.92638889,2011,,10,23,0,AB,,,38,,0,,JASPER WARDEN,M,15.1,,0.5,,3053536.2011.10.23,,10/23/2011 0:00,,0,99,,M,8.6,,2.9,,,3053536,-2.9,,,,
-118.0297222,52.92638889,2011,,10,24,0,AB,,,41,,0,,JASPER WARDEN,M,17.1,,0,,3053536.2011.10.24,,10/24/2011 0:00,,0,100,,M,7.1,,0.9,,,3053536,-5.4,,,,
-118.0297222,52.92638889,2011,,10,25,0,AB,,,34,,0,,JASPER WARDEN,M,16.9,,0,,3053536.2011.10.25,,10/25/2011 0:00,,0,91,,M,6.8,,1.1,,,3053536,-4.6,,,,
-118.0297222,52.92638889,2011,,10,26,0,AB,,,40,,0,,JASPER WARDEN,M,18.9,,0,,3053536.2011.10.26,,10/26/2011 0:00,,0,91,,M,4.8,,-0.9,,,3053536,-6.5,,,,
-118.0297222,52.92638889,2011,,10,27,0,AB,,,36,,0,,JASPER WARDEN,M,17.8,,0.2,,3053536.2011.10.27,,10/27/2011 0:00,,0,79,,M,4.4,,0.2,,,3053536,-4,,,,
-118.0297222,52.92638889,2011,,10,28,0,AB,,,45,,0,,JASPER WARDEN,M,17,,0.8,,3053536.2011.10.28,,10/28/2011 0:00,,0,98,,M,6.4,,1,,,3053536,-4.5,,,,
-118.0297222,52.92638889,2011,,10,29,0,AB,,,38,,0,1,JASPER WARDEN,M,15.4,,0.9,,3053536.2011.10.29,,10/29/2011 0:00,,0,99,,M,6.1,,2.6,,,3053536,-1,,,,
-118.0297222,52.92638889,2011,,10,30,0,AB,,,61,,0,,JASPER WARDEN,M,14.6,,2.5,,3053536.2011.10.30,,10/30/2011 0:00,,0,96,,M,6.3,,3.4,,,3053536,0.4,,,,
-118.0297222,52.92638889,2011,,10,31,39,AB,,,52,,1,,JASPER WARDEN,M,16.7,,1,,3053536.2011.10.31,,10/31/2011 0:00,,0,96,,M,5.4,,1.3,,,3053536,-2.8,,,,
-118.0297222,52.92638889,2011,,11,1,0,AB,,,35,,0,,JASPER WARDEN,M,17.9,,0,,3053536.2011.11.1,,11/1/2011 0:00,,0,85,,M,5.2,,0.1,,,3053536,-5.1,,,,
-118.0297222,52.92638889,2011,,11,2,37,AB,,,18,,19,,JASPER WARDEN,M,14.5,,0,,3053536.2011.11.2,,11/2/2011 0:00,,0,65,,M,9.2,,3.5,,,3053536,-2.2,,,,
-118.0297222,52.92638889,2011,,11,3,35,AB,,,36,,36,,JASPER WARDEN,M,16.4,,0,,3053536.2011.11.3,,11/3/2011 0:00,,0,85,,M,6.5,,1.6,,,3053536,-3.4,,,,
-118.0297222,52.92638889,2011,,11,4,0,AB,,,,,0,,JASPER WARDEN,M,21.4,,,,3053536.2011.11.4,,11/4/2011 0:00,,0,,,M,2,M,-3.4,,,3053536,-8.7,,,,
-118.0297222,52.92638889,2011,,11,5,0,AB,,,34,,0,,JASPER WARDEN,M,23.6,,0,,3053536.2011.11.5,,11/5/2011 0:00,,0,89,,M,0.8,,-5.6,,,3053536,-11.9,,,,
