LOCAL_DATE2,COOLING_DEGREE_DAYS2,HEATING_DEGREE_DAYS2,TOTAL_PRECIPITATION2,TOTAL_RAIN2,TOTAL_SNOW2,SNOW_ON_GROUND2,MAX_TEMPERATURE2,MEAN_TEMPERATURE2,MIN_TEMPERATURE2
3/1/1976,0,37.8,0,0,0,,-15.6,-19.8,-23.9
3/2/1976,0,42.5,0,0,0,,-17.2,-24.5,-31.7
3/3/1976,0,38.6,0,0,0,,-12.2,-20.6,-28.9
3/4/1976,0,33.9,0,0,0,,-5.6,-15.9,-26.1
3/5/1976,0,22.2,0,0,0,,4.4,-4.2,-12.8
3/6/1976,0,18,0,0,0,,3.9,0,-3.9
3/7/1976,0,13.5,0.8,0.8,0,,8.9,4.5,0
3/8/1976,0,15.8,2.5,2.5,0,,4.4,2.2,0
3/9/1976,0,14.7,2.8,0,2.8,,7.2,3.3,-0.6
3/10/1976,0,17.4,0,0,0,,2.8,0.6,-1.7
3/11/1976,0,23.9,1,0,1,,1.1,-5.9,-12.8
3/12/1976,0,16.3,0.5,0,0.5,,6.1,1.7,-2.8
3/13/1976,0,19.2,0,0,0,,4.4,-1.2,-6.7
3/14/1976,0,21.9,0,0,0,,4.4,-3.9,-12.2
3/15/1976,0,22.2,6.4,3.3,3,,1.7,-4.2,-10
3/16/1976,0,15.2,1,1,0,,7.2,2.8,-1.7
3/17/1976,0,10.2,0,0,0,,12.2,7.8,3.3
3/18/1976,0,13.5,4.1,0,4.1,,10.6,4.5,-1.7
3/19/1976,0,16,1.3,0,1.3,,5.6,2,-1.7
3/20/1976,0,16.3,0,0,0,,6.1,1.7,-2.8
3/21/1976,0,14.9,0.8,0,0.8,,10,3.1,-3.9
3/22/1976,0,13.8,0,0,0,,7.8,4.2,0.6
3/23/1976,0,16.3,0,0,0,,6.1,1.7,-2.8
3/24/1976,0,14.3,2.5,0,2.5,,6.7,3.7,0.6
3/25/1976,0,15.2,0.3,0,0.3,,7.8,2.8,-2.2
3/26/1976,0,14.6,0,0,0,,6.7,3.4,0
3/27/1976,0,18,2.5,0,2.5,,6.1,0,-6.1
3/28/1976,0,15.5,2,0,2,,6.1,2.5,-1.1
3/29/1976,0,16.3,1.5,0,1.5,,6.7,1.7,-3.3
3/30/1976,0,13.5,5.1,3.3,1.8,,7.8,4.5,1.1
3/31/1976,0,18.9,0,0,0,,5,-0.9,-6.7
4/1/1976,0,19.7,0,0,0,,5.6,-1.7,-8.9
4/2/1976,0,16.6,0,0,0,,8.9,1.4,-6.1
4/3/1976,0,14.9,0,0,0,,11.1,3.1,-5
4/4/1976,0,12.4,0,0,0,,11.7,5.6,-0.6
4/5/1976,0,9.4,0,0,0,,17.2,8.6,0
4/6/1976,0,11,0,0,0,,15.6,7,-1.7
4/7/1976,0,11.3,0,0,0,,16.7,6.7,-3.3
4/8/1976,0,9.6,0,0,0,,17.8,8.4,-1.1
4/9/1976,0,12.7,6.4,6.4,0,,7.8,5.3,2.8
4/10/1976,0,9.4,0,0,0,,16.1,8.6,1.1
4/11/1976,0,10.2,1.8,1.8,0,,16.7,7.8,-1.1
4/12/1976,0,11.9,0,0,0,,12.8,6.1,-0.6
4/13/1976,0,13,0,0,0,,13.3,5,-3.3
4/14/1976,0,12.1,0.5,0,0.5,,11.7,5.9,0
4/15/1976,0,15.5,0,0,0,,6.1,2.5,-1.1
4/16/1976,,,0,0,0,,9.4,,
4/17/1976,0,12.1,0,0,0,,10,5.9,1.7
4/18/1976,0,15.2,0,0,0,,8.3,2.8,-2.8
4/19/1976,0,12.4,3.8,3.8,0,,12.8,5.6,-1.7
4/20/1976,0,12.4,0.5,0.5,0,,10,5.6,1.1
4/21/1976,0,15.8,0,0,0,,7.2,2.2,-2.8
4/22/1976,0,13.5,0,0,0,,11.7,4.5,-2.8
4/23/1976,0,13,0,0,0,,11.7,5,-1.7
4/24/1976,0,11,0,0,0,,13.3,7,0.6
4/25/1976,0,10.5,0,0,0,,13.9,7.5,1.1
4/26/1976,0,11.3,0,0,0,,15.6,6.7,-2.2
4/27/1976,0,9.7,0,0,0,,19.4,8.3,-2.8
4/28/1976,0,7.1,0,0,0,,21.1,10.9,0.6
4/29/1976,0,5.8,0,0,0,,23.3,12.2,1.1
4/30/1976,0,5.8,0,0,0,,23.3,12.2,1.1
5/1/1976,0,2.4,0,0,0,,25.6,15.6,5.6
5/2/1976,0,4.1,0,0,0,,22.2,13.9,5.6
5/3/1976,0,6,0,0,0,,20,12,3.9
5/4/1976,0,8,6.9,6.9,0,,18.3,10,1.7
5/5/1976,0,8.3,0.8,0.8,0,,14.4,9.7,5
5/6/1976,0,11,2,2,0,,11.7,7,2.2
5/7/1976,0,8.8,5.1,5.1,0,,17.2,9.2,1.1
5/8/1976,0,5.2,0,0,0,,18.3,12.8,7.2
5/9/1976,0,5.7,0,0,0,,23.9,12.3,0.6
5/10/1976,0,4.9,12.7,12.7,0,,17.8,13.1,8.3
5/11/1976,0,10.7,0.5,0.5,0,,12.8,7.3,1.7
5/12/1976,0,8.3,1.3,1.3,0,,16.1,9.7,3.3
5/13/1976,0,8.5,1,1,0,,12.8,9.5,6.1
5/14/1976,0,9.3,0,0,0,,16.7,8.7,0.6
5/15/1976,0,6.6,0,0,0,,21.1,11.4,1.7
5/16/1976,0,5.2,10.9,10.9,0,,21.1,12.8,4.4
5/17/1976,0,11.9,3.6,3.6,0,,9.4,6.1,2.8
5/18/1976,0,13.2,0,0,0,,8.9,4.8,0.6
5/19/1976,0,9.6,0,0,0,,15.6,8.4,1.1
5/20/1976,0,6.9,0,0,0,,18.3,11.1,3.9
5/21/1976,0,7.4,0,0,0,,18.3,10.6,2.8
5/22/1976,,,0,0,0,,,,
5/23/1976,,,0,0,0,,,,
5/24/1976,,,0,0,0,,,,
5/25/1976,,,0,0,0,,13.3,,
5/26/1976,0,7.4,5.8,5.8,0,,15.6,10.6,5.6
5/27/1976,0,5.2,0,0,0,,18.3,12.8,7.2
5/28/1976,0,10.7,0,0,0,,12.8,7.3,1.7
5/29/1976,0,12.4,0,0,0,,13.9,5.6,-2.8
5/30/1976,0,9.1,1.5,1.5,0,,15,8.9,2.8
5/31/1976,0,11.3,15.5,15.5,0,,9.4,6.7,3.9
6/1/1976,0,10.5,8.1,8.1,0,,10,7.5,5
6/2/1976,0,9.9,4.3,4.3,0,,12.8,8.1,3.3
6/3/1976,0,8.5,1,1,0,,13.9,9.5,5
6/4/1976,0,8.3,1.3,1.3,0,,18.3,9.7,1.1
6/5/1976,0,8.8,0,0,0,,18.3,9.2,0
6/6/1976,0,5.2,0,0,0,,22.2,12.8,3.3
6/7/1976,0,4.7,3.3,3.3,0,,22.2,13.3,4.4
6/8/1976,0,4.4,0,0,0,,22.2,13.6,5
6/9/1976,0,7.4,8.6,8.6,0,,15,10.6,6.1
6/10/1976,0,8.2,13.5,13.5,0,,13.9,9.8,5.6
6/11/1976,0,10.2,1.3,1.3,0,,12.2,7.8,3.3
6/12/1976,0,8.8,2,2,0,,13.9,9.2,4.4
6/13/1976,0,6.9,6.1,6.1,0,,19.4,11.1,2.8
6/14/1976,0,6.9,7.4,7.4,0,,14.4,11.1,7.8
6/15/1976,0,5.5,5.1,5.1,0,,14.4,12.5,10.6
6/16/1976,0,3.8,0,0,0,,22.2,14.2,6.1
6/17/1976,0,1.6,0,0,0,,26.1,16.4,6.7
6/18/1976,0,4.3,4.6,4.6,0,,16.7,13.7,10.6
6/19/1976,0,5.5,0,0,0,,16.1,12.5,8.9
6/20/1976,0,6.3,0,0,0,,18.3,11.7,5
6/21/1976,0,5.7,0,0,0,,21.7,12.3,2.8
6/22/1976,0,5.7,0,0,0,,16.7,12.3,7.8
6/23/1976,0,5.7,2.5,2.5,0,,17.8,12.3,6.7
6/24/1976,0,4.9,5.6,5.6,0,,18.9,13.1,7.2
6/25/1976,0,8.8,5.1,5.1,0,,13.3,9.2,5
6/26/1976,0,5.2,0,0,0,,18.3,12.8,7.2
6/27/1976,0,3.2,0,0,0,,20.6,14.8,8.9
6/28/1976,0,1.3,0,0,0,,25,16.7,8.3
6/29/1976,0.4,0,2.5,2.5,0,,25.6,18.4,11.1
6/30/1976,0,1.3,7.1,7.1,0,,23.3,16.7,10
7/1/1976,0,6.6,0.5,0.5,0,,14.4,11.4,8.3
7/2/1976,0,4.1,0.8,0.8,0,,19.4,13.9,8.3
7/3/1976,0,4.6,0.3,0.3,0,,20.6,13.4,6.1
7/4/1976,0,3.5,3.6,3.6,0,,17.8,14.5,11.1
7/5/1976,0,3.3,0,0,0,,23.3,14.7,6.1
7/6/1976,0.9,0,3.3,3.3,0,,26.1,18.9,11.7
7/7/1976,0,1.6,0,0,0,,21.7,16.4,11.1
7/8/1976,0,1,5.3,5.3,0,,23.9,17,10
7/9/1976,0,4.1,1,1,0,,18.9,13.9,8.9
7/10/1976,0,2.2,0,0,0,,22.2,15.8,9.4
7/11/1976,0,4.7,3.8,3.8,0,,18.3,13.3,8.3
7/12/1976,0,4.4,0,0,0,,21.1,13.6,6.1
7/13/1976,0,2.7,0.5,0.5,0,,21.1,15.3,9.4
7/14/1976,0,2.1,0,0,0,,21.7,15.9,10
7/15/1976,0.1,0,0,0,0,,25.6,18.1,10.6
7/16/1976,0.1,0,3.8,3.8,0,,23.3,18.1,12.8
7/17/1976,0,4.6,0,0,0,,20,13.4,6.7
7/18/1976,0,5.5,0,0,0,,20.6,12.5,4.4
7/19/1976,0,0.8,0.5,0.5,0,,25,17.2,9.4
7/20/1976,0,0.5,6.9,6.9,0,,21.7,17.5,13.3
7/21/1976,0,5.2,5.6,5.6,0,,15.6,12.8,10
7/22/1976,0,3.5,0.8,0.8,0,,21.7,14.5,7.2
7/23/1976,0,3.3,5.3,5.3,0,,18.3,14.7,11.1
7/24/1976,0,1.8,0,0,0,,21.7,16.2,10.6
7/25/1976,0,3.5,1.5,1.5,0,,22.8,14.5,6.1
7/26/1976,0,6.3,0.8,0.8,0,,16.7,11.7,6.7
7/27/1976,0,3.8,6.1,6.1,0,,21.7,14.2,6.7
7/28/1976,0,4.4,5.3,5.3,0,,16.1,13.6,11.1
7/29/1976,0,0.2,0,0,0,,24.4,17.8,11.1
7/30/1976,0,0.2,1.5,1.5,0,,24.4,17.8,11.1
7/31/1976,0,1.9,6.6,6.6,0,,20,16.1,12.2
8/1/1976,0.1,0,2.8,2.8,0,,26.7,18.1,9.4
8/2/1976,0.4,0,4.3,4.3,0,,20.6,18.4,16.1
8/3/1976,1.2,0,0,0,0,,23.3,19.2,15
8/4/1976,0.6,0,0,0,0,,23.3,18.6,13.9
8/5/1976,3.1,0,0.3,0.3,0,,27.8,21.1,14.4
8/6/1976,2.3,0,6.1,6.1,0,,24.4,20.3,16.1
8/7/1976,2,0,0,0,0,,25.6,20,14.4
8/8/1976,0,0.7,1,1,0,,22.8,17.3,11.7
8/9/1976,0,0.7,0,0,0,,22.8,17.3,11.7
8/10/1976,1.5,0,4.6,4.6,0,,26.7,19.5,12.2
8/11/1976,0,1.9,6.4,6.4,0,,17.2,16.1,15
8/12/1976,0,1,3.3,3.3,0,,22.8,17,11.1
8/13/1976,0,4.4,0.8,0.8,0,,15,13.6,12.2
8/14/1976,,,0,0,0,,18.9,,
8/15/1976,0,4.1,0,0,0,,22.8,13.9,5
8/16/1976,0,1.9,0,0,0,,21.1,16.1,11.1
8/17/1976,0,0.7,0,0,0,,21.7,17.3,12.8
8/18/1976,0,4.3,3.8,3.8,0,,20.6,13.7,6.7
8/19/1976,0,6.9,3.6,3.6,0,,13.3,11.1,8.9
8/20/1976,0,4.6,4.6,4.6,0,,17.8,13.4,8.9
8/21/1976,0,4.9,3.8,3.8,0,,18.9,13.1,7.2
8/22/1976,0,3.5,0,0,0,,20,14.5,8.9
8/23/1976,0,3.5,0,0,0,,23.3,14.5,5.6
8/24/1976,0,2.4,0,0,0,,23.3,15.6,7.8
8/25/1976,0,3.8,0,0,0,,21.1,14.2,7.2
8/26/1976,0,5.2,0.3,0.3,0,,17.8,12.8,7.8
8/27/1976,0,4.1,0,0,0,,18.9,13.9,8.9
8/28/1976,0,6,2.3,2.3,0,,15.6,12,8.3
8/29/1976,0,4.4,0.3,0.3,0,,17.2,13.6,10
8/30/1976,0,1.6,0.5,0.5,0,,22.2,16.4,10.6
8/31/1976,0,2.7,0,0,0,,21.1,15.3,9.4
9/1/1976,0,6.3,5.6,5.6,0,,14.4,11.7,8.9
9/2/1976,0,6.6,0.5,0.5,0,,16.7,11.4,6.1
9/3/1976,0,4.1,8.1,8.1,0,,19.4,13.9,8.3
9/4/1976,0,2.7,1,1,0,,20.6,15.3,10
9/5/1976,0,7.4,0,0,0,,15.6,10.6,5.6
9/6/1976,0,7.4,0,0,0,,15,10.6,6.1
9/7/1976,0,8.5,0,0,0,,15,9.5,3.9
9/8/1976,0,9.9,0,0,0,,15,8.1,1.1
9/9/1976,0,4.7,0,0,0,,18.3,13.3,8.3
9/10/1976,0,4.4,1,1,0,,18.3,13.6,8.9
9/11/1976,0,4.6,0,0,0,,18.9,13.4,7.8
9/12/1976,0,5.5,0,0,0,,16.7,12.5,8.3
9/13/1976,0,6.8,3.6,3.6,0,,15.6,11.2,6.7
9/14/1976,0,4.4,0,0,0,,17.8,13.6,9.4
9/15/1976,0,6.3,0,0,0,,20.6,11.7,2.8
9/16/1976,0,4.1,5.8,5.8,0,,20.6,13.9,7.2
9/17/1976,0,6.3,0,0,0,,15.6,11.7,7.8
9/18/1976,0,7.4,0,0,0,,17.8,10.6,3.3
9/19/1976,0,8,0,0,0,,17.8,10,2.2
9/20/1976,0,6.9,0,0,0,,19.4,11.1,2.8
9/21/1976,0,3.5,0,0,0,,23.9,14.5,5
9/22/1976,0,3.3,1.3,1.3,0,,22.2,14.7,7.2
9/23/1976,0,3.2,4.1,4.1,0,,20.6,14.8,8.9
9/24/1976,0,4.6,0,0,0,,18.9,13.4,7.8
9/25/1976,0,6,0,0,0,,17.2,12,6.7
9/26/1976,0,6.3,0,0,0,,22.8,11.7,0.6
9/27/1976,0,2.4,0,0,0,,23.9,15.6,7.2
9/28/1976,0,4.9,1,1,0,,18.9,13.1,7.2
9/29/1976,0,5.2,0,0,0,,16.1,12.8,9.4
9/30/1976,0,10.2,0,0,0,,14.4,7.8,1.1
10/1/1976,0,11.9,0.8,0.8,0,,13.3,6.1,-1.1
10/2/1976,0,10.2,1.8,1.8,0,,10,7.8,5.6
10/3/1976,0,10.8,0,0,0,,11.1,7.2,3.3
10/4/1976,0,13.8,4.1,4.1,0,,10.6,4.2,-2.2
10/5/1976,0,11,0.8,0.8,0,,8.3,7,5.6
10/6/1976,0,10.2,1,1,0,,10.6,7.8,5
10/7/1976,0,8.8,0,0,0,,13.9,9.2,4.4
10/8/1976,0,8.8,0.5,0.5,0,,13.9,9.2,4.4
10/9/1976,0,6.9,1.3,1.3,0,,16.1,11.1,6.1
10/10/1976,0,7.4,2.3,2.3,0,,15,10.6,6.1
10/11/1976,0,9.1,0,0,0,,12.2,8.9,5.6
10/12/1976,0,9.9,2.8,2.8,0,,12.2,8.1,3.9
10/13/1976,0,10.8,4.6,4.6,0,,10,7.2,4.4
10/14/1976,0,15.5,0,0,0,,8.9,2.5,-3.9
10/15/1976,0,18.3,0,0,0,,3.9,-0.3,-4.4
10/16/1976,0,14.1,0,0,0,,8.3,3.9,-0.6
10/17/1976,0,14.3,0,0,0,,10.6,3.7,-3.3
10/18/1976,0,13.5,0,0,0,,12.2,4.5,-3.3
10/19/1976,0,15.8,0,0,0,,8.3,2.2,-3.9
10/20/1976,0,16.3,0,0,0,,6.1,1.7,-2.8
10/21/1976,0,18.6,0,0,0,,2.2,-0.6,-3.3
10/22/1976,0,14.6,0,0,0,,8.9,3.4,-2.2
10/23/1976,0,17.1,0,0,0,,5,0.9,-3.3
10/24/1976,0,14.7,13,13,0,,8.3,3.3,-1.7
10/25/1976,0,10.7,0,0,0,,10.6,7.3,3.9
10/26/1976,0,10.2,0.3,0.3,0,,11.1,7.8,4.4
10/27/1976,0,8.5,14,14,0,,12.2,9.5,6.7
10/28/1976,0,14.4,7.6,7.6,0,,7.2,3.6,0
10/29/1976,0,13.8,0,0,0,,9.4,4.2,-1.1
10/30/1976,0,12.2,0.3,0.3,0,,9.4,5.8,2.2
10/31/1976,0,10.7,2.3,2.3,0,,10.6,7.3,3.9
11/1/1976,0,15.8,0,0,0,,7.2,2.2,-2.8
11/2/1976,0,14.4,0,0,0,,10,3.6,-2.8
11/3/1976,0,11.3,0.5,0.5,0,,12.8,6.7,0.6
11/4/1976,0,10.5,0,0,0,,10.6,7.5,4.4
11/5/1976,0,15.5,0,0,0,,7.8,2.5,-2.8
11/6/1976,0,18.8,0,0,0,,1.7,-0.8,-3.3
11/7/1976,0,15.5,1.3,1.3,0,,6.1,2.5,-1.1
11/8/1976,0,16.3,0.3,0.3,0,,3.9,1.7,-0.6
11/9/1976,0,15.5,0,0,0,,3.3,2.5,1.7
11/10/1976,0,16.6,0,0,0,,2.2,1.4,0.6
11/11/1976,0,16.9,0,0,0,,2.2,1.1,0
11/12/1976,0,17.7,0,0,0,,1.1,0.3,-0.6
11/13/1976,0,18.6,0,0,0,,1.1,-0.6,-2.2
11/14/1976,0,18,0.3,0.3,0,,2.8,0,-2.8
11/15/1976,0,17.7,0,0,0,,4.4,0.3,-3.9
11/16/1976,0,14.6,10.9,5.8,5.1,,8.9,3.4,-2.2
11/17/1976,0,14.6,0,0,0,,6.7,3.4,0
11/18/1976,0,16.3,0,0,0,,4.4,1.7,-1.1
11/19/1976,0,16.6,0,0,0,,5.6,1.4,-2.8
11/20/1976,0,21.3,0,0,0,,0.6,-3.3,-7.2
11/21/1976,0,18.8,3,0,3,,0.6,-0.8,-2.2
11/22/1976,0,18.9,3.3,0.3,3,,4.4,-0.9,-6.1
11/23/1976,0,15.2,5.1,5.1,0,,3.3,2.8,2.2
11/24/1976,0,17.2,0,0,0,,3.3,0.8,-1.7
11/25/1976,0,22.5,0,0,0,,-1.1,-4.5,-7.8
11/26/1976,0,27.5,0,0,0,,-6.1,-9.5,-12.8
11/27/1976,0,22.7,0,0,0,,-1.1,-4.7,-8.3
11/28/1976,0,22.2,0,0,0,,-0.6,-4.2,-7.8
11/29/1976,0,20.5,0,0,0,,0,-2.5,-5
11/30/1976,0,18.9,0,0,0,,0,-0.9,-1.7
12/1/1976,0,18,0,0,0,,1.7,0,-1.7
12/2/1976,0,17.7,0,0,0,,3.3,0.3,-2.8
12/3/1976,0,24.4,0,0,0,,-3.9,-6.4,-8.9
12/4/1976,0,23.6,0.5,0,0.5,,-4.4,-5.6,-6.7
12/5/1976,0,21.1,10.9,0,10.9,,0,-3.1,-6.1
12/6/1976,0,18.6,0,0,0,,2.2,-0.6,-3.3
12/7/1976,0,17.2,13,8.4,4.6,,3.3,0.8,-1.7
12/8/1976,0,27.5,1.3,0,1.3,,-6.1,-9.5,-12.8
12/9/1976,0,26.3,1.5,0,1.5,,1.7,-8.3,-18.3
12/10/1976,0,17.7,10.4,10.4,0,,3.9,0.3,-3.3
12/11/1976,0,18,0,0,0,,2.8,0,-2.8
12/12/1976,0,16.3,0,0,0,,3.9,1.7,-0.6
12/13/1976,0,14.1,0,0,0,,6.1,3.9,1.7
12/14/1976,0,16.9,0,0,0,,5,1.1,-2.8
12/15/1976,0,17.1,24.4,24.4,0,,5.6,0.9,-3.9
12/16/1976,0,13.2,3.8,3.8,0,,8.9,4.8,0.6
12/17/1976,0,16.6,0,0,0,,3.9,1.4,-1.1
