LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN,TOTAL_PRECIPITATION,ID,LOCAL_DATE,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Date,Value,SYM
2011,9,4,,20,,M,5.1,,0,3053536.2011.9.4,9/4/2011 0:00,0,99,25,12.9,0.7,1,9/4/2011,88.3,
2011,9,5,,18,,M,3.9,,0,3053536.2011.9.5,9/5/2011 0:00,0,97,26.2,14.1,1.9,1,9/5/2011,90.3,
2011,9,6,,19,,M,3.4,,0,3053536.2011.9.6,9/6/2011 0:00,0,94,27.1,14.6,2,1,9/6/2011,94.6,
2011,9,7,,15,,M,2.1,,0,3053536.2011.9.7,9/7/2011 0:00,0,97,29.6,15.9,2.1,1,9/7/2011,98,
2011,9,8,,14,,M,2,,0,3053536.2011.9.8,9/8/2011 0:00,0,98,30,16,1.9,1,9/8/2011,103,
2011,9,9,,14,,M,2.2,,0,3053536.2011.9.9,9/9/2011 0:00,0,96,30.4,15.8,1.1,1,9/9/2011,105,
2011,9,10,,16,,M,2.5,,0.4,3053536.2011.9.10,9/10/2011 0:00,0,98,28.5,15.5,2.4,1,9/10/2011,107,
2011,9,11,,45,,M,6.7,,0,3053536.2011.9.11,9/11/2011 0:00,0,97,19.4,11.3,3.1,1,9/11/2011,112,
2011,9,12,,42,,M,9.3,,0,3053536.2011.9.12,9/12/2011 0:00,0,100,17.1,8.7,0.2,1,9/12/2011,114,A
2011,9,13,,46,,M,6,,0,3053536.2011.9.13,9/13/2011 0:00,0,80,16.5,12,7.4,1,9/13/2011,103,
2011,9,14,,29,,M,5.8,,0,3053536.2011.9.14,9/14/2011 0:00,0,100,24.3,12.2,0,1,9/14/2011,97.8,
2011,9,15,,49,,M,7,,0.8,3053536.2011.9.15,9/15/2011 0:00,0,98,19.4,11,2.6,1,9/15/2011,104,
2011,9,16,,32,,M,7,,0,3053536.2011.9.16,9/16/2011 0:00,0,89,15.8,11,6.1,1,9/16/2011,109,
2011,9,17,,41,,M,10.5,,0,3053536.2011.9.17,9/17/2011 0:00,0,88,14.5,7.5,0.5,1,9/17/2011,89.7,
2011,9,18,,42,,M,11.9,,2.3,3053536.2011.9.18,9/18/2011 0:00,0,100,15.1,6.1,-2.9,1,9/18/2011,77.5,
2011,9,19,,31,,M,9.4,,0.3,3053536.2011.9.19,9/19/2011 0:00,0,99,15,8.6,2.1,1,9/19/2011,83.7,
2011,9,20,,20,,M,10.1,,0,3053536.2011.9.20,9/20/2011 0:00,0,100,19.6,7.9,-3.8,1,9/20/2011,73.3,
2011,9,21,,26,,M,5.7,,0,3053536.2011.9.21,9/21/2011 0:00,0,88,23.5,12.3,1.1,1,9/21/2011,64.2,
2011,9,22,,41,,M,1.9,,0,3053536.2011.9.22,9/22/2011 0:00,0,75,19.1,16.1,13,1,9/22/2011,69.6,
2011,9,23,,25,,M,0,,0,3053536.2011.9.23,9/23/2011 0:00,2.5,54,25.5,20.5,15.5,1,9/23/2011,141,
2011,9,24,,14,,M,0,,0,3053536.2011.9.24,9/24/2011 0:00,0.2,62,27.1,18.2,9.2,1,9/24/2011,181,
2011,9,25,,46,,M,7.1,,5.7,3053536.2011.9.25,9/25/2011 0:00,0,99,19.7,10.9,2.1,1,9/25/2011,162,
2011,9,26,,34,,M,9.6,,0.7,3053536.2011.9.26,9/26/2011 0:00,0,99,13.1,8.4,3.6,1,9/26/2011,191,
2011,9,27,,29,,M,7.3,,1.3,3053536.2011.9.27,9/27/2011 0:00,0,97,15.7,10.7,5.7,1,9/27/2011,147,
2011,9,28,,29,,M,11.8,,0,3053536.2011.9.28,9/28/2011 0:00,0,86,13.5,6.2,-1.1,1,9/28/2011,127,
2011,9,29,,24,,M,12,,0.2,3053536.2011.9.29,9/29/2011 0:00,0,99,16.3,6,-4.3,1,9/29/2011,102,
2011,9,30,,39,,M,7.7,,1.8,3053536.2011.9.30,9/30/2011 0:00,0,94,18.1,10.3,2.5,1,9/30/2011,91.4,
2011,10,1,,88,,M,12.9,,6.6,3053536.2011.10.1,10/1/2011 0:00,0,99,6.8,5.1,3.4,1,10/1/2011,129,
2011,10,2,,75,,M,11.8,,1.3,3053536.2011.10.2,10/2/2011 0:00,0,99,9.7,6.2,2.6,1,10/2/2011,153,
2011,10,3,,61,,M,9.9,,0.4,3053536.2011.10.3,10/3/2011 0:00,0,99,13.4,8.1,2.7,1,10/3/2011,138,
2011,10,4,,69,,M,11.3,,3,3053536.2011.10.4,10/4/2011 0:00,0,99,11.1,6.7,2.2,1,10/4/2011,153,
2011,10,5,M,,,M,,,0.2,3053536.2011.10.5,10/5/2011 0:00,,,,,-0.3,1,10/5/2011,147,
2011,10,6,,58,,M,10.8,,0,3053536.2011.10.6,10/6/2011 0:00,0,99,12.9,7.2,1.4,1,10/6/2011,120,
2011,10,7,,33,,M,11.9,,0.2,3053536.2011.10.7,10/7/2011 0:00,0,100,12.2,6.1,-0.1,1,10/7/2011,105,
2011,10,8,,27,,M,13.2,,0,3053536.2011.10.8,10/8/2011 0:00,0,99,14.1,4.8,-4.6,1,10/8/2011,94.6,
2011,10,9,,38,,M,12.7,,0,3053536.2011.10.9,10/9/2011 0:00,0,93,11.8,5.3,-1.3,1,10/9/2011,85.1,
2011,10,10,,48,,M,14.5,,0,3053536.2011.10.10,10/10/2011 0:00,0,99,10.3,3.5,-3.3,1,10/10/2011,78.9,
2011,10,11,,51,,M,12.2,,0.2,3053536.2011.10.11,10/11/2011 0:00,0,100,13.1,5.8,-1.6,1,10/11/2011,73.9,
2011,10,12,,52,,M,11.9,,0.7,3053536.2011.10.12,10/12/2011 0:00,0,100,11.3,6.1,0.9,1,10/12/2011,70.9,
2011,10,13,,34,,M,13.9,,0,3053536.2011.10.13,10/13/2011 0:00,0,99,9.3,4.1,-1.1,1,10/13/2011,68.2,
2011,10,14,,32,,M,16.2,,0,3053536.2011.10.14,10/14/2011 0:00,0,98,8.7,1.8,-5.2,1,10/14/2011,62,
2011,10,15,,25,,M,16.2,,0,3053536.2011.10.15,10/15/2011 0:00,0,97,10.6,1.8,-7,1,10/15/2011,57.5,
2011,10,16,,23,,M,16.4,,0,3053536.2011.10.16,10/16/2011 0:00,0,100,11.6,1.6,-8.5,1,10/16/2011,52.6,
2011,10,17,,37,,M,14.2,,0,3053536.2011.10.17,10/17/2011 0:00,0,83,11.7,3.8,-4.2,1,10/17/2011,50.6,
2011,10,18,,28,,M,11.1,,0,3053536.2011.10.18,10/18/2011 0:00,0,96,17.1,6.9,-3.3,1,10/18/2011,49.3,
2011,10,19,,30,,M,11.4,,0,3053536.2011.10.19,10/19/2011 0:00,0,96,16.1,6.6,-2.9,1,10/19/2011,47.5,
2011,10,20,,61,,M,11.9,,0.7,3053536.2011.10.20,10/20/2011 0:00,0,93,9.3,6.1,2.9,1,10/20/2011,48.8,
2011,10,21,,40,,M,13.6,,0.2,3053536.2011.10.21,10/21/2011 0:00,0,99,11,4.4,-2.3,1,10/21/2011,48.7,
2011,10,22,,71,,M,14.9,,5.1,3053536.2011.10.22,10/22/2011 0:00,0,100,7.3,3.1,-1.1,1,10/22/2011,48.5,
2011,10,23,,38,,M,15.1,,0.5,3053536.2011.10.23,10/23/2011 0:00,0,99,8.6,2.9,-2.9,1,10/23/2011,49,
2011,10,24,,41,,M,17.1,,0,3053536.2011.10.24,10/24/2011 0:00,0,100,7.1,0.9,-5.4,1,10/24/2011,45.1,
2011,10,25,,34,,M,16.9,,0,3053536.2011.10.25,10/25/2011 0:00,0,91,6.8,1.1,-4.6,1,10/25/2011,43.6,
2011,10,26,,40,,M,18.9,,0,3053536.2011.10.26,10/26/2011 0:00,0,91,4.8,-0.9,-6.5,1,10/26/2011,39.9,A
2011,10,27,,36,,M,17.8,,0.2,3053536.2011.10.27,10/27/2011 0:00,0,79,4.4,0.2,-4,1,10/27/2011,39.1,
2011,10,28,,45,,M,17,,0.8,3053536.2011.10.28,10/28/2011 0:00,0,98,6.4,1,-4.5,1,10/28/2011,37.9,
2011,10,29,,38,,M,15.4,,0.9,3053536.2011.10.29,10/29/2011 0:00,0,99,6.1,2.6,-1,1,10/29/2011,38.2,
2011,10,30,,61,,M,14.6,,2.5,3053536.2011.10.30,10/30/2011 0:00,0,96,6.3,3.4,0.4,1,10/30/2011,37.3,
2011,10,31,,52,,M,16.7,,1,3053536.2011.10.31,10/31/2011 0:00,0,96,5.4,1.3,-2.8,1,10/31/2011,37.4,
2011,11,1,,35,,M,17.9,,0,3053536.2011.11.1,11/1/2011 0:00,0,85,5.2,0.1,-5.1,1,11/1/2011,35.9,
2011,11,2,,18,,M,14.5,,0,3053536.2011.11.2,11/2/2011 0:00,0,65,9.2,3.5,-2.2,1,11/2/2011,31.4,B
2011,11,3,,36,,M,16.4,,0,3053536.2011.11.3,11/3/2011 0:00,0,85,6.5,1.6,-3.4,1,11/3/2011,33.5,B
2011,11,4,,,,M,21.4,,,3053536.2011.11.4,11/4/2011 0:00,0,,2,-3.4,-8.7,1,11/4/2011,31.9,B
2011,11,5,,34,,M,23.6,,0,3053536.2011.11.5,11/5/2011 0:00,0,89,0.8,-5.6,-11.9,1,11/5/2011,24.7,B
2011,11,6,,37,,M,25.3,,0,3053536.2011.11.6,11/6/2011 0:00,0,93,1,-7.3,-15.6,1,11/6/2011,23.2,B
2011,11,7,,41,,M,19.5,,0,3053536.2011.11.7,11/7/2011 0:00,0,85,3.6,-1.5,-6.5,1,11/7/2011,24.4,B
2011,11,8,,29,,M,20.6,,0,3053536.2011.11.8,11/8/2011 0:00,0,86,3.6,-2.6,-8.8,1,11/8/2011,27.1,B
2011,11,9,,48,,M,21.7,,0,3053536.2011.11.9,11/9/2011 0:00,0,95,6.1,-3.7,-13.5,1,11/9/2011,25.4,B
2011,11,10,,48,,M,12,,0,3053536.2011.11.10,11/10/2011 0:00,0,77,8.9,6,3,1,11/10/2011,30.9,B
2011,11,11,,61,,M,15.3,,2.7,3053536.2011.11.11,11/11/2011 0:00,0,99,5.3,2.7,0,1,11/11/2011,31.5,B
2011,11,12,,86,,M,19.6,,0.4,3053536.2011.11.12,11/12/2011 0:00,0,100,0.2,-1.6,-3.4,1,11/12/2011,30.4,B
2011,11,13,,53,,M,19.3,0,0.9,3053536.2011.11.13,11/13/2011 0:00,0,99,1.7,-1.3,-4.2,1,11/13/2011,29,B
2011,11,14,,41,,M,24.1,0,1.5,3053536.2011.11.14,11/14/2011 0:00,0,96,-2.5,-6.1,-9.7,1,11/14/2011,27.5,B
2011,11,15,,32,,M,25.3,,0.8,3053536.2011.11.15,11/15/2011 0:00,0,95,-1.2,-7.3,-13.4,1,11/15/2011,23.7,B
2011,11,16,,50,,M,24.5,,0.2,3053536.2011.11.16,11/16/2011 0:00,0,91,-2.2,-6.5,-10.8,1,11/16/2011,23.5,B
2011,11,17,,68,,M,25.4,0,1,3053536.2011.11.17,11/17/2011 0:00,0,96,-4.3,-7.4,-10.5,1,11/17/2011,22.9,B
2011,11,18,,50,,M,34,,0,3053536.2011.11.18,11/18/2011 0:00,0,84,-10.4,-16,-21.5,1,11/18/2011,20,B
2011,11,19,,42,,M,36.6,,0,3053536.2011.11.19,11/19/2011 0:00,0,88,-9.8,-18.6,-27.4,1,11/19/2011,14,B
2011,11,20,,41,,M,32.9,,0,3053536.2011.11.20,11/20/2011 0:00,0,88,-4.3,-14.9,-25.4,1,11/20/2011,15.2,B
2011,11,21,,55,,M,27.1,,0,3053536.2011.11.21,11/21/2011 0:00,0,94,-1.9,-9.1,-16.2,1,11/21/2011,20.3,B
2011,11,22,,74,,M,20.5,0,3.8,3053536.2011.11.22,11/22/2011 0:00,0,100,2.5,-2.5,-7.5,1,11/22/2011,24.7,B
2011,11,23,,94,,M,20.7,0,8.6,3053536.2011.11.23,11/23/2011 0:00,0,100,-0.7,-2.7,-4.6,1,11/23/2011,25.3,B
2011,11,24,,79,,M,24.7,,0.4,3053536.2011.11.24,11/24/2011 0:00,0,99,-1.5,-6.7,-11.8,1,11/24/2011,24.1,B
2011,11,25,,53,,M,24.8,,2.1,3053536.2011.11.25,11/25/2011 0:00,0,98,-1.4,-6.8,-12.1,1,11/25/2011,24.6,B
2011,11,26,,64,,M,22.5,0,0.9,3053536.2011.11.26,11/26/2011 0:00,0,95,3.5,-4.5,-12.5,1,11/26/2011,23.9,B
2011,11,27,,55,,M,14.2,,9,3053536.2011.11.27,11/27/2011 0:00,0,98,8.2,3.8,-0.7,1,11/27/2011,25.5,B
2011,11,28,,67,,M,20.9,,0,3053536.2011.11.28,11/28/2011 0:00,0,98,0.4,-2.9,-6.2,1,11/28/2011,25.3,B
2011,11,29,,60,,M,17.1,0,5,3053536.2011.11.29,11/29/2011 0:00,0,99,2.5,0.9,-0.8,1,11/29/2011,24.5,B
2011,11,30,,68,,M,21.7,0,1.4,3053536.2011.11.30,11/30/2011 0:00,0,99,0.5,-3.7,-7.8,1,11/30/2011,24.6,B
2011,12,1,,54,,M,22.5,,0,3053536.2011.12.1,12/1/2011 0:00,0,95,1.7,-4.5,-10.7,1,12/1/2011,23.1,B
2011,12,2,,44,,M,19.7,,0,3053536.2011.12.2,12/2/2011 0:00,0,82,1,-1.7,-4.4,1,12/2/2011,22.2,B
2011,12,3,,59,,M,20.5,0,0.9,3053536.2011.12.3,12/3/2011 0:00,0,99,-0.1,-2.5,-4.9,1,12/3/2011,21.7,B
2011,12,4,,58,,M,26.8,,0,3053536.2011.12.4,12/4/2011 0:00,0,95,-1.2,-8.8,-16.3,1,12/4/2011,21.6,B
2011,12,5,,61,,M,27.2,,0,3053536.2011.12.5,12/5/2011 0:00,0,96,-2.8,-9.2,-15.6,1,12/5/2011,21.7,B
2011,12,6,,50,,M,20.4,,0,3053536.2011.12.6,12/6/2011 0:00,0,96,5.5,-2.4,-10.2,1,12/6/2011,20.9,B
2011,12,7,,54,,M,29.1,,0,3053536.2011.12.7,12/7/2011 0:00,0,94,-3,-11.1,-19.2,1,12/7/2011,20.1,B
2011,12,8,,69,,M,30.7,,0,3053536.2011.12.8,12/8/2011 0:00,0,91,-5.7,-12.7,-19.6,1,12/8/2011,19.8,B
2011,12,9,,59,,M,25.9,,0.2,3053536.2011.12.9,12/9/2011 0:00,0,98,-1.4,-7.9,-14.4,1,12/9/2011,19.3,B
2011,12,10,,60,,M,23.3,,0,3053536.2011.12.10,12/10/2011 0:00,0,97,1.8,-5.3,-12.3,1,12/10/2011,19.5,B
2011,12,11,,50,,M,28.4,,0,3053536.2011.12.11,12/11/2011 0:00,0,98,-2.7,-10.4,-18.1,1,12/11/2011,19.6,B
2011,12,12,,62,,M,31.8,,0,3053536.2011.12.12,12/12/2011 0:00,0,92,-6.6,-13.8,-20.9,1,12/12/2011,19.5,B
2011,12,13,,63,,M,23.9,,0,3053536.2011.12.13,12/13/2011 0:00,0,88,-0.5,-5.9,-11.2,1,12/13/2011,19.1,B
2011,12,14,,58,,M,26.4,,0,3053536.2011.12.14,12/14/2011 0:00,0,93,-2.5,-8.4,-14.3,1,12/14/2011,19.5,B
2011,12,15,,76,,M,24.1,,0.4,3053536.2011.12.15,12/15/2011 0:00,0,93,-2.3,-6.1,-9.8,1,12/15/2011,20.6,B
2011,12,16,,55,,M,18.9,,0,3053536.2011.12.16,12/16/2011 0:00,0,85,2.6,-0.9,-4.4,1,12/16/2011,20.4,B
2011,12,17,,50,,M,14.6,,0.6,3053536.2011.12.17,12/17/2011 0:00,0,99,7.5,3.4,-0.8,1,12/17/2011,21.8,B
2011,12,18,,70,,M,21.3,,8,3053536.2011.12.18,12/18/2011 0:00,0,100,1.9,-3.3,-8.5,1,12/18/2011,21.2,B
2011,12,19,,61,,M,20.5,,0,3053536.2011.12.19,12/19/2011 0:00,0,93,4.1,-2.5,-9,1,12/19/2011,19.9,B
2011,12,20,,37,,M,17.1,,0,3053536.2011.12.20,12/20/2011 0:00,0,93,4.8,0.9,-3.1,1,12/20/2011,19.9,B
2011,12,21,,44,,M,21.3,0,0.8,3053536.2011.12.21,12/21/2011 0:00,0,98,-0.1,-3.3,-6.4,1,12/21/2011,19.7,B
2011,12,22,,53,,M,23,,0,3053536.2011.12.22,12/22/2011 0:00,0,87,-1.2,-5,-8.8,1,12/22/2011,19.1,B
2011,12,23,,37,,M,21.7,,0,3053536.2011.12.23,12/23/2011 0:00,0,90,3.4,-3.7,-10.7,1,12/23/2011,18.2,B
2011,12,24,,48,,M,16.1,,0,3053536.2011.12.24,12/24/2011 0:00,0,72,4.7,1.9,-1,1,12/24/2011,17.9,B
2011,12,25,,50,,M,15.5,,0,3053536.2011.12.25,12/25/2011 0:00,0,90,5.5,2.5,-0.5,1,12/25/2011,18.8,B
2011,12,26,,42,,M,19.2,,0,3053536.2011.12.26,12/26/2011 0:00,0,91,1.6,-1.2,-4,1,12/26/2011,18.2,B
2011,12,27,,48,,M,18.3,,0,3053536.2011.12.27,12/27/2011 0:00,0,76,2.3,-0.3,-2.9,1,12/27/2011,18.1,B
2011,12,28,,74,,M,17.6,0,1,3053536.2011.12.28,12/28/2011 0:00,0,97,3.6,0.4,-2.9,1,12/28/2011,18.5,B
2011,12,29,,38,,M,19,,1.8,3053536.2011.12.29,12/29/2011 0:00,0,99,2.9,-1,-4.8,1,12/29/2011,18.7,B
2011,12,30,,76,,M,20.1,,0.8,3053536.2011.12.30,12/30/2011 0:00,0,99,1.1,-2.1,-5.2,1,12/30/2011,18,B
2011,12,31,,29,,M,26.5,0,0.4,3053536.2011.12.31,12/31/2011 0:00,0,93,-1.4,-8.5,-15.5,1,12/31/2011,17.1,B
2012,1,1,,57,,M,32.3,,0,3053536.2012.1.1,1/1/2012 0:00,0,90,-8.4,-14.3,-20.2,1,1/1/2012,16.5,B
2012,1,2,,47,,M,20.6,,0,3053536.2012.1.2,1/2/2012 0:00,0,86,4.8,-2.6,-9.9,1,1/2/2012,16.8,B
2012,1,3,,52,,M,16.1,,0,3053536.2012.1.3,1/3/2012 0:00,0,82,5.3,1.9,-1.5,1,1/3/2012,17.8,B
2012,1,4,,62,,M,14.4,,2.9,3053536.2012.1.4,1/4/2012 0:00,0,100,6.5,3.6,0.7,1,1/4/2012,19.1,B
2012,1,5,,70,,M,17.8,0,3.7,3053536.2012.1.5,1/5/2012 0:00,0,100,3.1,0.2,-2.8,1,1/5/2012,19.6,B
2012,1,6,,56,,M,19.6,,0,3053536.2012.1.6,1/6/2012 0:00,0,93,0.7,-1.6,-3.8,1,1/6/2012,18,B
2012,1,7,,53,,M,20.3,,0,3053536.2012.1.7,1/7/2012 0:00,0,88,1.4,-2.3,-5.9,1,1/7/2012,17,B
2012,1,8,,50,,M,14.8,,0,3053536.2012.1.8,1/8/2012 0:00,0,70,6.5,3.2,-0.2,1,1/8/2012,17.1,B
2012,1,9,,50,,M,14.9,,1.1,3053536.2012.1.9,1/9/2012 0:00,0,96,6.7,3.1,-0.6,1,1/9/2012,17.3,B
2012,1,10,,37,,M,24.5,,0,3053536.2012.1.10,1/10/2012 0:00,0,91,0.1,-6.5,-13,1,1/10/2012,16.5,B
2012,1,11,,52,,M,30.6,,0,3053536.2012.1.11,1/11/2012 0:00,0,85,-7.6,-12.6,-17.6,1,1/11/2012,15.4,B
